hodnota,obdobi,rok,tyden,ukazatel_txt,polozka_txt
27.91,2016-W01,2016,1,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
28.43,2016-W01,2016,1,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.46,2016-W01,2016,1,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.52,2016-W02,2016,2,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
28.21,2016-W02,2016,2,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.39,2016-W02,2016,2,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.1,2016-W03,2016,3,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
27.91,2016-W03,2016,3,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.25,2016-W03,2016,3,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
26.6,2016-W04,2016,4,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
27.63,2016-W04,2016,4,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.2,2016-W04,2016,4,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
26.03,2016-W05,2016,5,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
27.32,2016-W05,2016,5,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.13,2016-W05,2016,5,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
25.73,2016-W06,2016,6,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
27.17,2016-W06,2016,6,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.92,2016-W06,2016,6,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
25.44,2016-W07,2016,7,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
26.83,2016-W07,2016,7,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.73,2016-W07,2016,7,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
25.13,2016-W08,2016,8,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
26.42,2016-W08,2016,8,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.53,2016-W08,2016,8,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
24.94,2016-W09,2016,9,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
